country,date,category,metric,value,unit,source,ingested_at
BG,2026-09-06,weather,precip_fc7,13.1,mm,open_meteo,2026-09-06T08:42:05Z
BG,2026-09-06,weather,temp_anomaly_yoy,0.5,celsius,open_meteo,2026-09-06T08:42:05Z
HR,2026-09-06,weather,temp_mean_fc7,21.4,celsius,open_meteo,2026-09-06T08:42:05Z
HR,2026-09-06,weather,temp_min_fc7,13.8,celsius,open_meteo,2026-09-06T08:42:05Z
HR,2026-09-06,weather,snowfall_fc7,0,cm,open_meteo,2026-09-06T08:42:05Z
HR,2026-09-06,weather,snow_days_fc7,0,days,open_meteo,2026-09-06T08:42:05Z
HR,2026-09-06,weather,precip_fc7,66.6,mm,open_meteo,2026-09-06T08:42:05Z
HR,2026-09-06,weather,temp_anomaly_yoy,2.0,celsius,open_meteo,2026-09-06T08:42:06Z
SI,2026-09-06,weather,temp_mean_fc7,19.4,celsius,open_meteo,2026-09-06T08:42:06Z
SI,2026-09-06,weather,temp_min_fc7,8.6,celsius,open_meteo,2026-09-06T08:42:06Z
SI,2026-09-06,weather,snowfall_fc7,0,cm,open_meteo,2026-09-06T08:42:06Z
SI,2026-09-06,weather,snow_days_fc7,0,days,open_meteo,2026-09-06T08:42:06Z
SI,2026-09-06,weather,precip_fc7,65.4,mm,open_meteo,2026-09-06T08:42:06Z
SI,2026-09-06,weather,temp_anomaly_yoy,1.1,celsius,open_meteo,2026-09-06T08:42:06Z
GR,2026-09-06,weather,temp_mean_fc7,26.8,celsius,open_meteo,2026-09-06T08:42:07Z
GR,2026-09-06,weather,temp_min_fc7,19.2,celsius,open_meteo,2026-09-06T08:42:07Z
GR,2026-09-06,weather,snowfall_fc7,0,cm,open_meteo,2026-09-06T08:42:07Z
GR,2026-09-06,weather,snow_days_fc7,0,days,open_meteo,2026-09-06T08:42:07Z
GR,2026-09-06,weather,precip_fc7,0,mm,open_meteo,2026-09-06T08:42:07Z
GR,2026-09-06,weather,temp_anomaly_yoy,-0.2,celsius,open_meteo,2026-09-06T08:42:07Z
BA,2026-09-06,weather,temp_mean_fc7,19.8,celsius,open_meteo,2026-09-06T08:42:07Z
BA,2026-09-06,weather,temp_min_fc7,12.0,celsius,open_meteo,2026-09-06T08:42:07Z
BA,2026-09-06,weather,snowfall_fc7,0,cm,open_meteo,2026-09-06T08:42:07Z
BA,2026-09-06,weather,snow_days_fc7,0,days,open_meteo,2026-09-06T08:42:07Z
BA,2026-09-06,weather,precip_fc7,1.2,mm,open_meteo,2026-09-06T08:42:07Z
BA,2026-09-06,weather,temp_anomaly_yoy,0.2,celsius,open_meteo,2026-09-06T08:42:08Z
RS,2026-09-06,weather,temp_mean_fc7,22.9,celsius,open_meteo,2026-09-06T08:42:08Z
RS,2026-09-06,weather,temp_min_fc7,14.7,celsius,open_meteo,2026-09-06T08:42:08Z
RS,2026-09-06,weather,snowfall_fc7,0,cm,open_meteo,2026-09-06T08:42:08Z
RS,2026-09-06,weather,snow_days_fc7,0,days,open_meteo,2026-09-06T08:42:08Z
RS,2026-09-06,weather,precip_fc7,16.8,mm,open_meteo,2026-09-06T08:42:08Z
RS,2026-09-06,weather,temp_anomaly_yoy,0.1,celsius,open_meteo,2026-09-06T08:42:08Z
MD,2026-09-06,weather,temp_mean_fc7,19.6,celsius,open_meteo,2026-09-06T08:42:08Z
MD,2026-09-06,weather,temp_min_fc7,10.1,celsius,open_meteo,2026-09-06T08:42:08Z
MD,2026-09-06,weather,snowfall_fc7,0,cm,open_meteo,2026-09-06T08:42:08Z
MD,2026-09-06,weather,snow_days_fc7,0,days,open_meteo,2026-09-06T08:42:08Z
MD,2026-09-06,weather,precip_fc7,3.3,mm,open_meteo,2026-09-06T08:42:08Z
MD,2026-09-06,weather,temp_anomaly_yoy,-1.4,celsius,open_meteo,2026-09-06T08:42:09Z
LV,2026-09-06,weather,temp_mean_fc7,15.5,celsius,open_meteo,2026-09-06T08:42:39Z
LV,2026-09-06,weather,temp_min_fc7,11.1,celsius,open_meteo,2026-09-06T08:42:39Z
LV,2026-09-06,weather,snowfall_fc7,0,cm,open_meteo,2026-09-06T08:42:39Z
LV,2026-09-06,weather,snow_days_fc7,0,days,open_meteo,2026-09-06T08:42:39Z
LV,2026-09-06,weather,precip_fc7,31.5,mm,open_meteo,2026-09-06T08:42:39Z
LV,2026-09-06,weather,temp_anomaly_yoy,-3.6,celsius,open_meteo,2026-09-06T08:42:39Z
EE,2026-09-06,weather,temp_mean_fc7,14.7,celsius,open_meteo,2026-09-06T08:42:39Z
EE,2026-09-06,weather,temp_min_fc7,9.9,celsius,open_meteo,2026-09-06T08:42:39Z
EE,2026-09-06,weather,snowfall_fc7,0,cm,open_meteo,2026-09-06T08:42:39Z
EE,2026-09-06,weather,snow_days_fc7,0,days,open_meteo,2026-09-06T08:42:39Z
EE,2026-09-06,weather,precip_fc7,19.2,mm,open_meteo,2026-09-06T08:42:39Z
EE,2026-09-06,weather,temp_anomaly_yoy,-3.5,celsius,open_meteo,2026-09-06T08:42:40Z
PL,2026-06-01,mobility,tourism_nights,10593235,count,eurostat,2026-09-06T08:42:40Z
CZ,2026-06-01,mobility,tourism_nights,5508708,count,eurostat,2026-09-06T08:42:40Z
SK,2026-06-01,mobility,tourism_nights,1423961,count,eurostat,2026-09-06T08:42:40Z
HU,2026-06-01,mobility,tourism_nights,3227537,count,eurostat,2026-09-06T08:42:40Z
RO,2026-06-01,mobility,tourism_nights,2675630,count,eurostat,2026-09-06T08:42:40Z
BG,2026-06-01,mobility,tourism_nights,3692086,count,eurostat,2026-09-06T08:42:40Z
HR,2026-06-01,mobility,tourism_nights,13465868,count,eurostat,2026-09-06T08:42:40Z
SI,2026-07-01,mobility,tourism_nights,3252724,count,eurostat,2026-09-06T08:42:40Z
LT,2026-06-01,mobility,tourism_nights,948906,count,eurostat,2026-09-06T08:42:40Z
LV,2026-06-01,mobility,tourism_nights,528988,count,eurostat,2026-09-06T08:42:40Z
EE,2026-06-01,mobility,tourism_nights,718385,count,eurostat,2026-09-06T08:42:40Z
PL,2026-Q1-01,mobility,airport_passengers,13442405,count,eurostat,2026-09-06T08:42:41Z
CZ,2026-Q1-01,mobility,airport_passengers,3631263,count,eurostat,2026-09-06T08:42:41Z
SK,2026-Q2-01,mobility,airport_passengers,1494974,count,eurostat,2026-09-06T08:42:41Z
HU,2026-Q1-01,mobility,airport_passengers,4172222,count,eurostat,2026-09-06T08:42:41Z
RO,2025-Q4-01,mobility,airport_passengers,6284826,count,eurostat,2026-09-06T08:42:41Z
BG,2026-Q2-01,mobility,airport_passengers,3248634,count,eurostat,2026-09-06T08:42:41Z
HR,2026-Q1-01,mobility,airport_passengers,1076446,count,eurostat,2026-09-06T08:42:41Z
SI,2026-Q1-01,mobility,airport_passengers,293408,count,eurostat,2026-09-06T08:42:41Z
LT,2026-Q1-01,mobility,airport_passengers,1486373,count,eurostat,2026-09-06T08:42:41Z
LV,2026-Q1-01,mobility,airport_passengers,1410765,count,eurostat,2026-09-06T08:42:41Z
EE,2026-Q1-01,mobility,airport_passengers,722246,count,eurostat,2026-09-06T08:42:41Z
EU,2026-09-06,competitive,wiki_pageviews_michelin,937,count,wikimedia,2026-09-06T08:42:41Z
EU,2026-09-06,competitive,wiki_pageviews_continental,462,count,wikimedia,2026-09-06T08:42:41Z
EU,2026-09-06,competitive,wiki_pageviews_goodyear,648,count,wikimedia,2026-09-06T08:42:41Z
EU,2026-09-06,competitive,wiki_pageviews_bridgestone,489,count,wikimedia,2026-09-06T08:42:41Z
EU,2026-09-06,competitive,michelin_attention_sov,36.9,pct,wikimedia,2026-09-06T08:42:41Z
